"Notes"	"Vaccine"	"Vaccine Code"	"Year Died"	"Year Died Code"	"Year Reported"	"Year Reported Code"	Events Reported	Percent
	"DTAP+IPV+HEPB+HIB (HEXAVAC)"	"1047"	"No Death"	"9998"	"2007"	"2007"	3	0.00%
	"DTAP+IPV+HEPB+HIB (HEXAVAC)"	"1047"	"No Death"	"9998"	"2009"	"2009"	5	0.00%
	"DTAP+IPV+HEPB+HIB (HEXAVAC)"	"1047"	"No Death"	"9998"	"2010"	"2010"	5	0.00%
	"DTAP+IPV+HEPB+HIB (HEXAVAC)"	"1047"	"No Death"	"9998"	"2011"	"2011"	2	0.00%
	"DTAP+IPV+HEPB+HIB (HEXAVAC)"	"1047"	"No Death"	"9998"	"2013"	"2013"	2	0.00%
	"DTAP+IPV+HEPB+HIB (HEXAVAC)"	"1047"	"No Death"	"9998"	"2014"	"2014"	1	0.00%
	"DTAP+IPV+HEPB+HIB (HEXAVAC)"	"1047"	"No Death"	"9998"	"2015"	"2015"	1	0.00%
	"DTAP+IPV+HEPB+HIB (HEXAVAC)"	"1047"	"No Death"	"9998"	"2017"	"2017"	1	0.00%
"Total"	"DTAP+IPV+HEPB+HIB (HEXAVAC)"	"1047"	"No Death"	"9998"			27	0.00%
"Total"	"DTAP+IPV+HEPB+HIB (HEXAVAC)"	"1047"					27	0.00%
	"DTAP+IPV+HEPB+HIB (INFANRIX HEXA)"	"1139"	"No Death"	"9998"	"2005"	"2005"	1	0.00%
	"DTAP+IPV+HEPB+HIB (INFANRIX HEXA)"	"1139"	"No Death"	"9998"	"2010"	"2010"	5	0.00%
	"DTAP+IPV+HEPB+HIB (INFANRIX HEXA)"	"1139"	"No Death"	"9998"	"2011"	"2011"	3	0.00%
	"DTAP+IPV+HEPB+HIB (INFANRIX HEXA)"	"1139"	"No Death"	"9998"	"2012"	"2012"	4	0.00%
	"DTAP+IPV+HEPB+HIB (INFANRIX HEXA)"	"1139"	"No Death"	"9998"	"2013"	"2013"	4	0.00%
	"DTAP+IPV+HEPB+HIB (INFANRIX HEXA)"	"1139"	"No Death"	"9998"	"2014"	"2014"	4	0.00%
	"DTAP+IPV+HEPB+HIB (INFANRIX HEXA)"	"1139"	"No Death"	"9998"	"2015"	"2015"	2	0.00%
	"DTAP+IPV+HEPB+HIB (INFANRIX HEXA)"	"1139"	"No Death"	"9998"	"2016"	"2016"	7	0.00%
"Total"	"DTAP+IPV+HEPB+HIB (INFANRIX HEXA)"	"1139"	"No Death"	"9998"			30	0.01%
"Total"	"DTAP+IPV+HEPB+HIB (INFANRIX HEXA)"	"1139"					30	0.01%
	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"	"2012"	"2012"	"2012"	"2012"	1	0.00%
"Total"	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"	"2012"	"2012"			1	0.00%
	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"	"No Death"	"9998"	"2007"	"2007"	3	0.00%
	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"	"No Death"	"9998"	"2008"	"2008"	4	0.00%
	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"	"No Death"	"9998"	"2009"	"2009"	3	0.00%
	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"	"No Death"	"9998"	"2010"	"2010"	11	0.00%
	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"	"No Death"	"9998"	"2011"	"2011"	18	0.00%
	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"	"No Death"	"9998"	"2012"	"2012"	11	0.00%
	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"	"No Death"	"9998"	"2013"	"2013"	21	0.00%
	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"	"No Death"	"9998"	"2014"	"2014"	10	0.00%
	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"	"No Death"	"9998"	"2015"	"2015"	13	0.00%
	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"	"No Death"	"9998"	"2016"	"2016"	14	0.00%
	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"	"No Death"	"9998"	"2017"	"2017"	3	0.00%
"Total"	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"	"No Death"	"9998"			111	0.02%
"Total"	"DTAP+IPV+HEPB+HIB (NO BRAND NAME)"	"1111"					112	0.02%
	"DTAP (ACEL-IMUNE)"	"234"	"1997"	"1997"	"1997"	"1997"	4	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"1997"	"1997"	"1998"	"1998"	1	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"1997"	"1997"	"2000"	"2000"	1	0.00%
"Total"	"DTAP (ACEL-IMUNE)"	"234"	"1997"	"1997"			6	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"1998"	"1998"	"1998"	"1998"	18	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"1998"	"1998"	"1999"	"1999"	2	0.00%
"Total"	"DTAP (ACEL-IMUNE)"	"234"	"1998"	"1998"			20	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"1999"	"1999"	"1999"	"1999"	24	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"1999"	"1999"	"2000"	"2000"	1	0.00%
"Total"	"DTAP (ACEL-IMUNE)"	"234"	"1999"	"1999"			25	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"2000"	"2000"	"2000"	"2000"	16	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"2000"	"2000"	"2002"	"2002"	1	0.00%
"Total"	"DTAP (ACEL-IMUNE)"	"234"	"2000"	"2000"			17	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"2001"	"2001"	"2001"	"2001"	4	0.00%
"Total"	"DTAP (ACEL-IMUNE)"	"234"	"2001"	"2001"			4	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"2002"	"2002"	"2002"	"2002"	1	0.00%
"Total"	"DTAP (ACEL-IMUNE)"	"234"	"2002"	"2002"			1	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"Unknown Date"	"9999"	"1999"	"1999"	1	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"Unknown Date"	"9999"	"2000"	"2000"	1	0.00%
"Total"	"DTAP (ACEL-IMUNE)"	"234"	"Unknown Date"	"9999"			2	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"1989"	"1989"	1	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"1992"	"1992"	77	0.01%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"1993"	"1993"	77	0.01%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"1994"	"1994"	97	0.02%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"1995"	"1995"	72	0.01%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"1996"	"1996"	149	0.03%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"1997"	"1997"	184	0.03%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"1998"	"1998"	460	0.08%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"1999"	"1999"	692	0.13%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2000"	"2000"	781	0.14%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2001"	"2001"	234	0.04%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2002"	"2002"	95	0.02%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2003"	"2003"	48	0.01%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2004"	"2004"	40	0.01%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2005"	"2005"	25	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2006"	"2006"	17	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2007"	"2007"	14	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2008"	"2008"	4	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2009"	"2009"	4	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2010"	"2010"	3	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2011"	"2011"	5	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2012"	"2012"	2	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2013"	"2013"	3	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2014"	"2014"	1	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2015"	"2015"	2	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"2016"	"2016"	3	0.00%
	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"	"Unknown Date"	"9999"	177	0.03%
"Total"	"DTAP (ACEL-IMUNE)"	"234"	"No Death"	"9998"			3267	0.60%
"Total"	"DTAP (ACEL-IMUNE)"	"234"					3342	0.62%
	"DTAP (CERTIVA)"	"301"	"1999"	"1999"	"2000"	"2000"	1	0.00%
"Total"	"DTAP (CERTIVA)"	"301"	"1999"	"1999"			1	0.00%
	"DTAP (CERTIVA)"	"301"	"2000"	"2000"	"2000"	"2000"	3	0.00%
"Total"	"DTAP (CERTIVA)"	"301"	"2000"	"2000"			3	0.00%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"1999"	"1999"	23	0.00%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"2000"	"2000"	29	0.01%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"2001"	"2001"	2	0.00%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"2002"	"2002"	1	0.00%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"2004"	"2004"	1	0.00%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"2006"	"2006"	27	0.00%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"2007"	"2007"	1	0.00%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"2008"	"2008"	2	0.00%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"2009"	"2009"	1	0.00%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"2011"	"2011"	1	0.00%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"2012"	"2012"	2	0.00%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"2013"	"2013"	1	0.00%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"2014"	"2014"	4	0.00%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"2016"	"2016"	2	0.00%
	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"	"Unknown Date"	"9999"	2	0.00%
"Total"	"DTAP (CERTIVA)"	"301"	"No Death"	"9998"			99	0.02%
"Total"	"DTAP (CERTIVA)"	"301"					103	0.02%
	"DTAP (DAPTACEL)"	"1064"	"2002"	"2002"	"2002"	"2002"	2	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2002"	"2002"	"2003"	"2003"	1	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2002"	"2002"			3	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2003"	"2003"	"2003"	"2003"	15	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2003"	"2003"	"2004"	"2004"	5	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2003"	"2003"			20	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2004"	"2004"	"2004"	"2004"	15	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2004"	"2004"	"2005"	"2005"	2	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2004"	"2004"	"2006"	"2006"	2	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2004"	"2004"	"Unknown Date"	"9999"	1	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2004"	"2004"			20	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2005"	"2005"	"2005"	"2005"	7	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2005"	"2005"	"2006"	"2006"	2	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2005"	"2005"			9	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2006"	"2006"	"2006"	"2006"	11	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2006"	"2006"	"2008"	"2008"	1	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2006"	"2006"			12	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2007"	"2007"	"2007"	"2007"	9	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2007"	"2007"	"2008"	"2008"	2	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2007"	"2007"	"2012"	"2012"	1	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2007"	"2007"			12	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2008"	"2008"	"2008"	"2008"	10	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2008"	"2008"	"2009"	"2009"	2	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2008"	"2008"	"2015"	"2015"	1	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2008"	"2008"	"Unknown Date"	"9999"	1	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2008"	"2008"			14	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2009"	"2009"	"2009"	"2009"	4	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2009"	"2009"			4	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2010"	"2010"	"2010"	"2010"	3	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2010"	"2010"			3	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2011"	"2011"	"2011"	"2011"	2	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2011"	"2011"			2	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2012"	"2012"	"2012"	"2012"	3	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2012"	"2012"	"2013"	"2013"	1	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2012"	"2012"			4	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2013"	"2013"	"2013"	"2013"	6	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2013"	"2013"			6	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2014"	"2014"	"2014"	"2014"	2	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2014"	"2014"			2	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2016"	"2016"	"2016"	"2016"	1	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2016"	"2016"	"2017"	"2017"	1	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2016"	"2016"			2	0.00%
	"DTAP (DAPTACEL)"	"1064"	"2017"	"2017"	"2017"	"2017"	1	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"2017"	"2017"			1	0.00%
	"DTAP (DAPTACEL)"	"1064"	"Unknown Date"	"9999"	"2003"	"2003"	1	0.00%
	"DTAP (DAPTACEL)"	"1064"	"Unknown Date"	"9999"	"2006"	"2006"	2	0.00%
	"DTAP (DAPTACEL)"	"1064"	"Unknown Date"	"9999"	"2011"	"2011"	1	0.00%
"Total"	"DTAP (DAPTACEL)"	"1064"	"Unknown Date"	"9999"			4	0.00%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"1997"	"1997"	1	0.00%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"1998"	"1998"	1	0.00%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2000"	"2000"	4	0.00%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2001"	"2001"	2	0.00%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2002"	"2002"	175	0.03%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2003"	"2003"	896	0.17%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2004"	"2004"	1266	0.23%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2005"	"2005"	1345	0.25%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2006"	"2006"	1186	0.22%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2007"	"2007"	1432	0.26%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2008"	"2008"	1443	0.27%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2009"	"2009"	961	0.18%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2010"	"2010"	780	0.14%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2011"	"2011"	623	0.12%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2012"	"2012"	578	0.11%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2013"	"2013"	572	0.11%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2014"	"2014"	522	0.10%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2015"	"2015"	376	0.07%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2016"	"2016"	395	0.07%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"2017"	"2017"	101	0.02%
	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"	"Unknown Date"	"9999"	483	0.09%
"Total"	"DTAP (DAPTACEL)"	"1064"	"No Death"	"9998"			13142	2.43%
"Total"	"DTAP (DAPTACEL)"	"1064"					13260	2.45%
	"DTAP (INFANRIX)"	"286"	"1997"	"1997"	"1997"	"1997"	1	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"1997"	"1997"			1	0.00%
	"DTAP (INFANRIX)"	"286"	"1998"	"1998"	"1998"	"1998"	8	0.00%
	"DTAP (INFANRIX)"	"286"	"1998"	"1998"	"1999"	"1999"	2	0.00%
	"DTAP (INFANRIX)"	"286"	"1998"	"1998"	"Unknown Date"	"9999"	2	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"1998"	"1998"			12	0.00%
	"DTAP (INFANRIX)"	"286"	"1999"	"1999"	"1999"	"1999"	19	0.00%
	"DTAP (INFANRIX)"	"286"	"1999"	"1999"	"2000"	"2000"	1	0.00%
	"DTAP (INFANRIX)"	"286"	"1999"	"1999"	"2001"	"2001"	1	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"1999"	"1999"			21	0.00%
	"DTAP (INFANRIX)"	"286"	"2000"	"2000"	"2000"	"2000"	22	0.00%
	"DTAP (INFANRIX)"	"286"	"2000"	"2000"	"2001"	"2001"	5	0.00%
	"DTAP (INFANRIX)"	"286"	"2000"	"2000"	"2004"	"2004"	2	0.00%
	"DTAP (INFANRIX)"	"286"	"2000"	"2000"	"Unknown Date"	"9999"	4	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2000"	"2000"			33	0.01%
	"DTAP (INFANRIX)"	"286"	"2001"	"2001"	"2001"	"2001"	36	0.01%
	"DTAP (INFANRIX)"	"286"	"2001"	"2001"	"2002"	"2002"	8	0.00%
	"DTAP (INFANRIX)"	"286"	"2001"	"2001"	"2003"	"2003"	1	0.00%
	"DTAP (INFANRIX)"	"286"	"2001"	"2001"	"2004"	"2004"	1	0.00%
	"DTAP (INFANRIX)"	"286"	"2001"	"2001"	"2005"	"2005"	2	0.00%
	"DTAP (INFANRIX)"	"286"	"2001"	"2001"	"Unknown Date"	"9999"	1	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2001"	"2001"			49	0.01%
	"DTAP (INFANRIX)"	"286"	"2002"	"2002"	"2001"	"2001"	1	0.00%
	"DTAP (INFANRIX)"	"286"	"2002"	"2002"	"2002"	"2002"	31	0.01%
	"DTAP (INFANRIX)"	"286"	"2002"	"2002"	"2003"	"2003"	5	0.00%
	"DTAP (INFANRIX)"	"286"	"2002"	"2002"	"2005"	"2005"	2	0.00%
	"DTAP (INFANRIX)"	"286"	"2002"	"2002"	"Unknown Date"	"9999"	2	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2002"	"2002"			41	0.01%
	"DTAP (INFANRIX)"	"286"	"2003"	"2003"	"2003"	"2003"	23	0.00%
	"DTAP (INFANRIX)"	"286"	"2003"	"2003"	"2004"	"2004"	2	0.00%
	"DTAP (INFANRIX)"	"286"	"2003"	"2003"	"2005"	"2005"	1	0.00%
	"DTAP (INFANRIX)"	"286"	"2003"	"2003"	"Unknown Date"	"9999"	2	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2003"	"2003"			28	0.01%
	"DTAP (INFANRIX)"	"286"	"2004"	"2004"	"2004"	"2004"	6	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2004"	"2004"			6	0.00%
	"DTAP (INFANRIX)"	"286"	"2005"	"2005"	"2005"	"2005"	3	0.00%
	"DTAP (INFANRIX)"	"286"	"2005"	"2005"	"2006"	"2006"	2	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2005"	"2005"			5	0.00%
	"DTAP (INFANRIX)"	"286"	"2006"	"2006"	"2006"	"2006"	3	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2006"	"2006"			3	0.00%
	"DTAP (INFANRIX)"	"286"	"2007"	"2007"	"2007"	"2007"	3	0.00%
	"DTAP (INFANRIX)"	"286"	"2007"	"2007"	"Unknown Date"	"9999"	1	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2007"	"2007"			4	0.00%
	"DTAP (INFANRIX)"	"286"	"2009"	"2009"	"2009"	"2009"	1	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2009"	"2009"			1	0.00%
	"DTAP (INFANRIX)"	"286"	"2010"	"2010"	"2010"	"2010"	1	0.00%
	"DTAP (INFANRIX)"	"286"	"2010"	"2010"	"2011"	"2011"	1	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2010"	"2010"			2	0.00%
	"DTAP (INFANRIX)"	"286"	"2011"	"2011"	"2012"	"2012"	1	0.00%
	"DTAP (INFANRIX)"	"286"	"2011"	"2011"	"Unknown Date"	"9999"	1	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2011"	"2011"			2	0.00%
	"DTAP (INFANRIX)"	"286"	"2012"	"2012"	"2014"	"2014"	1	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2012"	"2012"			1	0.00%
	"DTAP (INFANRIX)"	"286"	"2013"	"2013"	"2013"	"2013"	4	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2013"	"2013"			4	0.00%
	"DTAP (INFANRIX)"	"286"	"2014"	"2014"	"2014"	"2014"	2	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2014"	"2014"			2	0.00%
	"DTAP (INFANRIX)"	"286"	"2015"	"2015"	"2015"	"2015"	1	0.00%
	"DTAP (INFANRIX)"	"286"	"2015"	"2015"	"2016"	"2016"	1	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2015"	"2015"			2	0.00%
	"DTAP (INFANRIX)"	"286"	"2016"	"2016"	"2016"	"2016"	3	0.00%
	"DTAP (INFANRIX)"	"286"	"2016"	"2016"	"2017"	"2017"	1	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"2016"	"2016"			4	0.00%
	"DTAP (INFANRIX)"	"286"	"Unknown Date"	"9999"	"2002"	"2002"	2	0.00%
	"DTAP (INFANRIX)"	"286"	"Unknown Date"	"9999"	"2004"	"2004"	2	0.00%
"Total"	"DTAP (INFANRIX)"	"286"	"Unknown Date"	"9999"			4	0.00%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"1990"	"1990"	1	0.00%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"1997"	"1997"	29	0.01%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"1998"	"1998"	223	0.04%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"1999"	"1999"	536	0.10%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2000"	"2000"	890	0.16%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2001"	"2001"	1835	0.34%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2002"	"2002"	2529	0.47%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2003"	"2003"	1949	0.36%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2004"	"2004"	1290	0.24%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2005"	"2005"	1058	0.20%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2006"	"2006"	1111	0.21%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2007"	"2007"	1056	0.20%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2008"	"2008"	945	0.17%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2009"	"2009"	557	0.10%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2010"	"2010"	387	0.07%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2011"	"2011"	354	0.07%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2012"	"2012"	322	0.06%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2013"	"2013"	458	0.08%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2014"	"2014"	396	0.07%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2015"	"2015"	366	0.07%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2016"	"2016"	317	0.06%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"2017"	"2017"	100	0.02%
	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"	"Unknown Date"	"9999"	646	0.12%
"Total"	"DTAP (INFANRIX)"	"286"	"No Death"	"9998"			17355	3.21%
"Total"	"DTAP (INFANRIX)"	"286"					17580	3.25%
	"DTAP (NO BRAND NAME)"	"258"	"1978"	"1978"	"2016"	"2016"	1	0.00%
"Total"	"DTAP (NO BRAND NAME)"	"258"	"1978"	"1978"			1	0.00%
	"DTAP (NO BRAND NAME)"	"258"	"1996"	"1996"	"1996"	"1996"	1	0.00%
"Total"	"DTAP (NO BRAND NAME)"	"258"	"1996"	"1996"			1	0.00%
	"DTAP (NO BRAND NAME)"	"258"	"1997"	"1997"	"1997"	"1997"	2	0.00%
	"DTAP (NO BRAND NAME)"	"258"	"1997"	"1997"	"2000"	"2000"	1	0.00%
"Total"	"DTAP (NO BRAND NAME)"	"258"	"1997"	"1997"			3	0.00%
	"DTAP (NO BRAND NAME)"	"258"	"1998"	"1998"	"2003"	"2003"	1	0.00%
"Total"	"DTAP (NO BRAND NAME)"	"258"	"1998"	"1998"			1	0.00%
	"DTAP (NO BRAND NAME)"	"258"	"1999"	"1999"	"2001"	"2001"	1	0.00%
"Total"	"DTAP (NO BRAND NAME)"	"258"	"1999"	"1999"			1	0.00%
	"DTAP (NO BRAND NAME)"	"258"	"2000"	"2000"	"2000"	"2000"	2	0.00%
"Total"	"DTAP (NO BRAND NAME)"	"258"	"2000"	"2000"			2	0.00%
